Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
227.33,5.2965e+05,280.01,3.9904e+06,261.46,1.406e+06,308.63,1.8665e+06,309.32,1.9201e+05,324.23,8.4691e+05
226.62,5.3546e+05,279.67,4.0587e+06,260.92,1.4287e+06,308.36,1.9015e+06,308.48,1.9418e+05,323.6,8.6167e+05
225.92,5.4132e+05,279.34,4.1285e+06,260.37,1.4518e+06,308.09,1.9372e+06,307.65,1.9638e+05,322.98,8.7662e+05
225.21,5.4724e+05,279,4.1997e+06,259.83,1.4751e+06,307.83,1.9736e+06,306.81,1.986e+05,322.35,8.9176e+05
224.5,5.5322e+05,278.67,4.2725e+06,259.29,1.4987e+06,307.56,2.0108e+06,305.98,2.0086e+05,321.74,9.0708e+05
223.8,5.5926e+05,278.33,4.3469e+06,258.75,1.5227e+06,307.29,2.0487e+06,305.15,2.0315e+05,321.12,9.2259e+05
223.09,5.6535e+05,278,4.4229e+06,258.21,1.5469e+06,307.03,2.0873e+06,304.32,2.0547e+05,320.51,9.3828e+05
222.39,5.7151e+05,277.67,4.5006e+06,257.68,1.5715e+06,306.77,2.1268e+06,303.49,2.0782e+05,319.9,9.5415e+05
221.68,5.7772e+05,277.34,4.58e+06,257.15,1.5964e+06,306.51,2.1671e+06,302.67,2.102e+05,319.29,9.7021e+05
220.97,5.8399e+05,277.01,4.6611e+06,256.61,1.6216e+06,306.25,2.2081e+06,301.84,2.1262e+05,318.69,9.8645e+05
220.27,5.9033e+05,276.68,4.744e+06,256.08,1.6471e+06,305.99,2.2497e+06,301.02,2.1507e+05,318.09,1.0029e+06
219.56,5.9673e+05,276.35,4.8288e+06,255.55,1.6729e+06,305.74,2.292e+06,300.2,2.1755e+05,317.49,1.0196e+06
218.86,6.0318e+05,276.03,4.9155e+06,255.03,1.699e+06,305.48,2.3348e+06,299.38,2.2007e+05,316.9,1.0364e+06
218.15,6.097e+05,275.7,5.0041e+06,254.5,1.7255e+06,305.23,2.3782e+06,298.56,2.2262e+05,316.31,1.0535e+06
217.45,6.1628e+05,275.38,5.0947e+06,253.97,1.7523e+06,304.98,2.4223e+06,297.75,2.2521e+05,315.72,1.0707e+06
216.74,6.2293e+05,275.05,5.1874e+06,253.45,1.7794e+06,304.73,2.4669e+06,296.94,2.2783e+05,315.13,1.0882e+06
216.04,6.2963e+05,274.73,5.2822e+06,252.93,1.8069e+06,304.48,2.5121e+06,296.13,2.3049e+05,314.54,1.1059e+06
215.33,6.3641e+05,274.41,5.3792e+06,252.41,1.8347e+06,304.23,2.558e+06,295.32,2.3318e+05,313.96,1.1237e+06
214.63,6.4324e+05,274.09,5.4784e+06,251.89,1.8628e+06,303.98,2.6044e+06,294.51,2.3592e+05,313.38,1.1418e+06
213.92,6.5014e+05,273.77,5.5799e+06,251.37,1.8912e+06,303.74,2.6514e+06,293.7,2.3867e+05,312.8,1.1601e+06
213.22,6.571e+05,273.46,5.6838e+06,250.85,1.9199e+06,303.49,2.699e+06,292.9,2.4144e+05,312.22,1.1786e+06
